MONTH,BOROUGH,BOROUGH_ID,COMMUNITYDISTRICT,BORO_CD,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2021 / 02,Bronx,2,01,201,1904.4,132.1,130.8
2021 / 02,Bronx,2,02,202,1402.9,109.4,133
2021 / 02,Bronx,2,03,203,1890.8,141.7,177.6
2021 / 02,Bronx,2,04,204,3618.8,247.9,317.5
2021 / 02,Bronx,2,05,205,3109.6,229.4,309.4
2021 / 02,Bronx,2,06,206,2064.4,164.3,192.2
2021 / 02,Bronx,2,07,207,3300.6,294.4,429.7
2021 / 02,Bronx,2,08,208,2027.3,299.2,360.3
2021 / 02,Bronx,2,09,209,3161.9,216.9,317.8
2021 / 02,Bronx,2,10,210,2034.4,267.2,344.3
2021 / 02,Bronx,2,11,211,2536.8,259.8,313.9
2021 / 02,Bronx,2,12,212,3141.5,315.4,476.1
2021 / 02,Brooklyn,3,01,301,5146.5,677.6,484.1
